"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 10 19:57:17 CST 2022","Thu Nov 10 19:57:17 CST 2022","185","testcase_api","test_069_emerg_date_data","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:56:29 CST 2022","Thu Nov 10 19:56:29 CST 2022","244","testcase_api","test_020_boss_point_select","TestBossPointSelect","","","税收监管--矿区选择--市级",""
"passed","Thu Nov 10 19:56:03 CST 2022","Thu Nov 10 19:56:04 CST 2022","363","testcase_api","test_008_boss_ticket_count_by_point","TestBossTicketCountByPoint","","","指挥中心顶部数据销售量详情--区县",""
"passed","Thu Nov 10 19:57:00 CST 2022","Thu Nov 10 19:57:00 CST 2022","204","testcase_api","test_044_boss_goods_select","TestMoatOrgFullTree","","","矿山数据统计--生产数据--详情",""
"passed","Thu Nov 10 19:56:17 CST 2022","Thu Nov 10 19:56:17 CST 2022","286","testcase_api","test_013_gbserver_video","TestGbserverVideo","","","驾驶舱矿区实景--播放视频",""
"passed","Thu Nov 10 19:56:49 CST 2022","Thu Nov 10 19:56:50 CST 2022","1002","testcase_api","test_028_gbserver_tree","TestGbserverTree","","","视频监控--视频监控树--模糊搜索",""
"passed","Thu Nov 10 19:56:54 CST 2022","Thu Nov 10 19:56:54 CST 2022","185","testcase_api","test_041_moat_role_details","TestMoatOrgFullTree","","","组织管理--角色管理--角色名称详情",""
"passed","Thu Nov 10 19:57:26 CST 2022","Thu Nov 10 19:57:27 CST 2022","277","testcase_api","test_082_boss_car_inout_data_weight_summary_data","TestMoatOrgFullTree","","","矿山数据统计--加工销售数据--销售量列表",""
"passed","Thu Nov 10 19:56:07 CST 2022","Thu Nov 10 19:56:08 CST 2022","1027","testcase_api","test_008_boss_ticket_count_by_point","TestBossTicketCountByPoint","","","税收监管今年累计销售量列表--镇街",""
"passed","Thu Nov 10 19:57:13 CST 2022","Thu Nov 10 19:57:14 CST 2022","202","testcase_api","test_064_earlywarning_details","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:57:00 CST 2022","Thu Nov 10 19:57:00 CST 2022","195","testcase_api","test_047_boss_car_inout_data","TestMoatOrgFullTree","","","矿山数据统计--销售数据核准--详情",""
"passed","Thu Nov 10 19:53:55 CST 2022","Thu Nov 10 19:53:59 CST 2022","4064","testcase_api","test_005_beacon_alert_detail","TestBeaconAlertDetail","","","指挥中心左部告警信息--详情",""
"passed","Thu Nov 10 19:57:01 CST 2022","Thu Nov 10 19:57:01 CST 2022","218","testcase_api","test_049_boss_companys","TestMoatOrgFullTree","","","企业管理--矿企管理--默认列表",""
